study,time_h,conc_native,conc_unit,conc_mg_L
"Abduljalil 2009, 500 mg po MD",73.4609,2.216017,µmol/l,1.657477
"Abduljalil 2009, 500 mg po MD",73.4635,2.47049928,µmol/l,1.847818
"Abduljalil 2009, 500 mg po MD",73.619,1.53745568,µmol/l,1.149945
"Abduljalil 2009, 500 mg po MD",73.6414,3.71864438,µmol/l,2.781373
"Abduljalil 2009, 500 mg po MD",73.7154,2.89464545,µmol/l,2.16506
"Abduljalil 2009, 500 mg po MD",73.9566,2.27667618,µmol/l,1.702848
"Abduljalil 2009, 500 mg po MD",73.9688,3.46421552,µmol/l,2.591072
"Abduljalil 2009, 500 mg po MD",74.0285,1.24668622,µmol/l,0.932463
"Abduljalil 2009, 500 mg po MD",74.042,2.555398,µmol/l,1.911319
"Abduljalil 2009, 500 mg po MD",74.0444,2.78564072,µmol/l,2.083529
"Abduljalil 2009, 500 mg po MD",74.0461,2.955291,µmol/l,2.21042
"Abduljalil 2009, 500 mg po MD",74.0475,3.08857536,µmol/l,2.31011
"Abduljalil 2009, 500 mg po MD",74.2186,3.68237185,µmol/l,2.754243
